state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Tennessee,2020-04-07,-36,-7,5,-33,-45,17
Tennessee,2020-04-08,-35,-5,8,-32,-45,17
Tennessee,2020-04-09,-33,-4,0,-35,-46,17
Tennessee,2020-04-10,-36,-5,-5,-39,-53,20
Tennessee,2020-04-11,-40,2,11,-36,-33,10
Tennessee,2020-04-12,-65,-43,-61,-53,-47,13
Tennessee,2020-04-13,-33,-11,-21,-35,-44,17
Tennessee,2020-04-14,-31,-8,-8,-30,-43,16
Tennessee,2020-04-15,-21,0,5,-27,-42,15
Tennessee,2020-04-16,-25,-3,1,-31,-42,15
Tennessee,2020-04-17,-30,-8,6,-33,-42,16
Tennessee,2020-04-18,-33,-4,2,-28,-27,9
Tennessee,2020-04-19,-38,-13,-31,-44,-36,10
Tennessee,2020-04-20,-25,-7,3,-30,-40,15
Tennessee,2020-04-21,-24,-4,18,-26,-41,15
Tennessee,2020-04-22,-26,-5,10,-29,-41,15
Tennessee,2020-04-23,-32,-9,-30,-35,-42,18
Tennessee,2020-04-24,-30,-8,5,-31,-41,16
Tennessee,2020-04-25,-36,-7,-24,-31,-28,10
Tennessee,2020-04-26,-34,-10,-33,-35,-35,9
Tennessee,2020-04-27,-18,-4,18,-27,-38,14
Tennessee,2020-04-28,-18,-1,28,-23,-39,8
Tennessee,2020-04-29,-20,-2,-10,-26,-40,15
Tennessee,2020-04-30,-18,2,0,-25,-39,14
Tennessee,2020-05-01,-17,3,33,-22,-38,13
Tennessee,2020-05-02,-20,7,80,-13,-22,5
Tennessee,2020-05-03,-20,0,41,-26,-28,5
Tennessee,2020-05-04,-10,2,19,-23,-36,11
Tennessee,2020-05-05,-10,7,10,-20,-36,12
Tennessee,2020-05-06,-12,5,5,-20,-36,13
Tennessee,2020-05-07,-12,6,35,-20,-35,11
Tennessee,2020-05-08,-21,-1,-21,-26,-37,15
Tennessee,2020-05-09,-13,19,47,-10,-18,4
Texas,2020-02-15,3,3,12,3,1,-1
Texas,2020-02-16,8,3,20,4,1,-1
Texas,2020-02-17,6,2,21,2,-18,4
Texas,2020-02-18,-1,-1,-4,3,1,0
Texas,2020-02-19,-2,0,-12,0,3,1
Texas,2020-02-20,-1,-2,-13,-1,1,1
Texas,2020-02-21,2,0,-2,2,3,-1
Texas,2020-02-22,3,1,13,3,4,-1
Texas,2020-02-23,4,1,-11,3,1,0
Texas,2020-02-24,2,1,1,2,3,0
Texas,2020-02-25,6,2,12,3,3,-1
Texas,2020-02-26,10,6,0,5,4,-1
Texas,2020-02-27,11,6,25,7,2,-2
Texas,2020-02-28,10,8,18,7,1,-2
Texas,2020-02-29,10,8,33,9,3,-3
Texas,2020-03-01,14,9,6,7,2,-2
Texas,2020-03-02,8,7,8,4,4,-1
Texas,2020-03-03,12,10,17,3,3,-2
Texas,2020-03-04,6,5,-10,0,2,1
Texas,2020-03-05,11,8,34,5,3,-2
Texas,2020-03-06,6,7,21,6,3,-2
Texas,2020-03-07,5,7,21,11,3,-2
Texas,2020-03-08,9,4,11,6,0,-1
Texas,2020-03-09,6,5,7,1,-9,2
Texas,2020-03-10,10,6,39,3,-10,1
Texas,2020-03-11,12,14,49,4,-9,1
Texas,2020-03-12,11,26,48,1,-11,1
Texas,2020-03-13,1,31,4,-5,-15,4
Texas,2020-03-14,-8,14,-3,-2,-3,2
Texas,2020-03-15,-9,7,-17,-7,-7,3
Texas,2020-03-16,-4,17,-2,-13,-22,7
Texas,2020-03-17,-12,15,2,-16,-26,10
Texas,2020-03-18,-16,14,11,-19,-29,12
Texas,2020-03-19,-22,12,10,-25,-32,13
Texas,2020-03-20,-30,9,-33,-30,-34,17
Texas,2020-03-21,-40,-3,-45,-32,-22,13
Texas,2020-03-22,-41,-10,-41,-37,-29,11
Texas,2020-03-23,-31,-4,-14,-34,-36,15
Texas,2020-03-24,-30,-1,-3,-32,-40,17
Texas,2020-03-25,-39,-13,-6,-37,-44,20
Texas,2020-03-26,-38,-14,-2,-39,-45,20
Texas,2020-03-27,-41,-15,-19,-42,-45,21
Texas,2020-03-28,-47,-19,-35,-43,-32,15
Texas,2020-03-29,-45,-23,-27,-47,-36,13
Texas,2020-03-30,-41,-21,-39,-45,-46,20
Texas,2020-03-31,-35,-13,-13,-39,-47,20
Texas,2020-04-01,-33,-8,-6,-38,-47,20
Texas,2020-04-02,-39,-14,-22,-43,-48,21
Texas,2020-04-03,-41,-13,-44,-47,-48,23
Texas,2020-04-04,-52,-23,-69,-52,-37,18
Texas,2020-04-05,-48,-23,-47,-53,-39,14
Texas,2020-04-06,-41,-19,-33,-46,-47,20
Texas,2020-04-07,-38,-16,-17,-42,-49,21
